Date,Metric,Count,Rolling Average
Aug-16,Telecommunications Services,50.9,48.68
Aug-16,"Data Processing, Web Hosting and Electronic Information Storage Services",2.7,1.65
Aug-16,Computer System Design and Related Services,149.1,147.55
Nov-16,Telecommunications Services,50.6,48.25
Nov-16,Internet Service Providers and Web Search Portals,4.3,3.97
Nov-16,Computer System Design and Related Services,152.4,150.38
Feb-17,Telecommunications Services,44.4,47.6
Feb-17,Internet Publishing and Broadcasting,2.6,1.65
Feb-17,Internet Service Providers and Web Search Portals,3.2,4.3
Feb-17,"Data Processing, Web Hosting and Electronic Information Storage Services",1.4,1.68
Feb-17,Computer System Design and Related Services,155.0,152.62
May-17,Telecommunications Services,47.3,48.3
May-17,Internet Service Providers and Web Search Portals,1.7,3.3
May-17,Computer System Design and Related Services,169.6,156.52
Aug-17,Telecommunications Services,40.1,45.6
Aug-17,Internet Service Providers and Web Search Portals,3.8,3.25
Aug-17,"Data Processing, Web Hosting and Electronic Information Storage Services",1.5,1.72
Aug-17,Computer System Design and Related Services,171.5,162.12
Nov-17,Telecommunications Services,49.0,45.2
Nov-17,Internet Service Providers and Web Search Portals,1.2,2.47
Nov-17,"Data Processing, Web Hosting and Electronic Information Storage Services",1.1,1.68
Nov-17,Computer System Design and Related Services,164.9,165.25
Feb-18,Telecommunications Services,55.0,47.85
Feb-18,Internet Service Providers and Web Search Portals,1.5,2.05
Feb-18,"Data Processing, Web Hosting and Electronic Information Storage Services",1.3,1.32
Feb-18,Computer System Design and Related Services,180.7,171.68
May-18,Telecommunications Services,61.9,51.5
May-18,Internet Service Providers and Web Search Portals,2.7,2.3
May-18,"Data Processing, Web Hosting and Electronic Information Storage Services",1.7,1.4
May-18,Computer System Design and Related Services,184.8,175.48
Aug-18,Telecommunications Services,52.1,54.5
Aug-18,Internet Service Providers and Web Search Portals,1.4,1.7
Aug-18,"Data Processing, Web Hosting and Electronic Information Storage Services",1.5,1.4
Aug-18,Computer System Design and Related Services,204.1,183.62
Nov-18,Telecommunications Services,53.6,55.65
Nov-18,Internet Service Providers and Web Search Portals,2.9,2.12
Nov-18,"Data Processing, Web Hosting and Electronic Information Storage Services",1.7,1.55
Nov-18,Computer System Design and Related Services,172.3,185.48
Feb-19,Telecommunications Services,50.1,54.42
Feb-19,Internet Service Providers and Web Search Portals,1.4,2.1
Feb-19,Computer System Design and Related Services,189.7,187.73
May-19,Telecommunications Services,49.1,51.22
May-19,Internet Service Providers and Web Search Portals,1.9,1.9
May-19,Computer System Design and Related Services,182.3,187.1
Aug-19,Telecommunications Services,47.1,49.98
Aug-19,Internet Service Providers and Web Search Portals,1.7,1.98
Aug-19,"Data Processing, Web Hosting and Electronic Information Storage Services",2.0,1.72
Aug-19,Computer System Design and Related Services,187.0,182.82
Nov-19,Telecommunications Services,44.9,47.8
Nov-19,Internet Service Providers and Web Search Portals,3.8,2.2
Nov-19,Computer System Design and Related Services,181.5,185.12
Feb-20,Telecommunications Services,52.7,48.45
Feb-20,Internet Service Providers and Web Search Portals,6.3,3.42
Feb-20,"Data Processing, Web Hosting and Electronic Information Storage Services",1.8,1.75
Feb-20,Computer System Design and Related Services,203.8,188.65
May-20,Telecommunications Services,44.2,47.22
May-20,Internet Service Providers and Web Search Portals,7.3,4.78
May-20,"Data Processing, Web Hosting and Electronic Information Storage Services",1.7,1.8
May-20,Computer System Design and Related Services,200.8,193.28
Aug-20,Telecommunications Services,45.1,46.73
