Australian Bureau of Statistics

"Labour Force Survey, 2006 to 2026"
"Survey month and Industry of main job (ANZSIC 2006) by Occupation of main job (ANZSCO 2013 v1.3)"
"Counting: Weighted count of Person"

Filters:
"Default Summation","Weighted count of Person (#)"
"Occupation of main job (ANZSCO 2013 v1.3)","Tech occupations"

,"Counting","Weighted count of Person","Weighted count of Person - RSE","Weighted count of Person - Annotations",
"Survey month","Industry of main job (ANZSIC 2006)",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.7,np,"**",
,"Computer System Design and Related Services",184.8,5.09,,
,"Total",249.9,4.54,,
"Aug-18","Telecommunications Services",52.1,9.63,,
,"Internet Service Providers and Web Search Portals",1.4,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.5,np,"**",
,"Computer System Design and Related Services",204.1,5.43,,
,"Total",259,4.98,,
"Nov-18","Telecommunications Services",53.6,10.38,,
,"Internet Service Providers and Web Search Portals",2.9,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.7,np,"**",
,"Computer System Design and Related Services",172.3,5.07,,
,"Total",232.7,4.25,,
"Feb-19","Telecommunications Services",50.1,10.48,,
,"Internet Service Providers and Web Search Portals",1.4,np,"**",
,"Computer System Design and Related Services",189.7,6.34,,
,"Total",243.6,5.33,,
"May-19","Telecommunications Services",49.1,9.30,,
,"Internet Service Providers and Web Search Portals",1.9,np,"**",
,"Computer System Design and Related Services",182.3,6.73,,
,"Total",235.2,5.16,,
"Aug-19","Telecommunications Services",47.1,11.64,,
,"Internet Service Providers and Web Search Portals",1.7,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",2,np,"**",
,"Computer System Design and Related Services",187,6.29,,
,"Total",240.4,5.98,,
"Nov-19","Telecommunications Services",44.9,10.10,,
,"Internet Service Providers and Web Search Portals",3.8,40.84,"*",
,"Computer System Design and Related Services",181.5,5.07,,
,"Total",230.4,5.18,,
"Feb-20","Telecommunications Services",52.7,9.30,,
,"Internet Service Providers and Web Search Portals",6.3,28.90,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.8,np,"**",
,"Computer System Design and Related Services",203.8,5.09,,
,"Total",262.6,4.48,,
"May-20","Telecommunications Services",44.2,13.04,,
,"Internet Service Providers and Web Search Portals",7.3,35.74,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.7,np,"**",
,"Computer System Design and Related Services",200.8,5.19,,
,"Total",253.3,4.94,,
"Aug-20","Telecommunications Services",45.1,11.17,,
,"Data Processing, Web Hosting and Electronic Information Storage Services",0.8,np,"**",
,"Computer System Design and Related Services",207.5,5.63,,
,"Total",255.2,5.17,,
"Nov-20","Telecommunications Services",47.4,9.45,,
,"Internet Service Providers and Web Search Portals",2,np,"**",
,"Computer System Design and Related Services",222.5,5.46,,
,"Total",273.2,4.64,,
"Feb-21","Telecommunications Services",45.9,9.71,,
,"Internet Service Providers and Web Search Portals",1.4,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.5,np,"**",
,"Computer System Design and Related Services",233.9,5.80,,
,"Total",283.7,4.95,,
"May-21","Telecommunications Services",39.8,10.92,,
,"Computer System Design and Related Services",217.9,6.03,,
,"Total",260.3,5.67,,
"Aug-21","Telecommunications Services",34.9,14.81,,
,"Internet Service Providers and Web Search Portals",4.8,33.85,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",2.5,40.80,"*",
,"Computer System Design and Related Services",204.4,6.11,,
,"Total",244.4,5.43,,
"Nov-21","Telecommunications Services",42.8,9.30,,
,"Internet Service Providers and Web Search Portals",3.5,43.12,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.7,np,"**",
,"Computer System Design and Related Services",222.5,5.98,,
,"Total",268,4.51,,
"Feb-22","Telecommunications Services",49.1,13.13,,
,"Internet Service Providers and Web Search Portals",3.5,42.95,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",3.4,43.04,"*",
,"Computer System Design and Related Services",233.1,5.15,,
,"Total",286,4.73,,
"May-22","Telecommunications Services",45.9,15.58,,
,"Internet Service Providers and Web Search Portals",2.6,49.48,"*",
,"Computer System Design and Related Services",241.5,5.73,,
,"Total",292,5.11,,
"Aug-22","Telecommunications Services",40.9,12.00,,
,"Internet Service Providers and Web Search Portals",2,np,"**",
,"Computer System Design and Related Services",255.6,4.99,,
,"Total",298.2,4.46,,
"Nov-22","Telecommunications Services",41.8,12.49,,
,"Internet Service Providers and Web Search Portals",1.2,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.4,np,"**",
,"Computer System Design and Related Services",264.2,5.00,,
,"Total",309.3,4.77,,
"Feb-23","Telecommunications Services",40.5,14.21,,
,"Internet Service Providers and Web Search Portals",3.8,38.49,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",2.2,np,"**",
,"Computer System Design and Related Services",239.5,5.47,,
,"Total",286.8,4.95,,
"May-23","Telecommunications Services",41.1,12.20,,
,"Internet Service Providers and Web Search Portals",5.1,37.99,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.1,np,"**",
,"Computer System Design and Related Services",233.1,5.77,,
,"Total",280.5,5.51,,
"Aug-23","Telecommunications Services",42.1,10.68,,
,"Internet Service Providers and Web Search Portals",5.1,44.14,"*",
,"Computer System Design and Related Services",254.6,6.10,,
,"Total",304.3,5.10,,
"Nov-23","Telecommunications Services",35,13.16,,
,"Internet Service Providers and Web Search Portals",3.1,np,"**",
,"Computer System Design and Related Services",253.5,5.15,,
,"Total",292.2,4.66,,
"Feb-24","Telecommunications Services",39.3,9.73,,
,"Internet Publishing and Broadcasting",3.3,37.24,"*",
,"Internet Service Providers and Web Search Portals",2.5,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",2.6,41.35,"*",
,"Computer System Design and Related Services",255,4.37,,
,"Total",299.5,3.77,,
"May-24","Telecommunications Services",46.1,9.96,,
,"Internet Publishing and Broadcasting",1.9,np,"**",
,"Internet Service Providers and Web Search Portals",4.4,35.65,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1,np,"**",
,"Computer System Design and Related Services",269.8,5.19,,
,"Total",322.6,4.82,,
"Aug-24","Telecommunications Services",33.3,13.52,,
,"Internet Service Providers and Web Search Portals",4.9,31.56,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",2.3,42.79,"*",
,"Computer System Design and Related Services",266.5,4.90,,
,"Total",305.4,4.68,,
"Nov-24","Telecommunications Services",31.9,13.08,,
,"Internet Service Providers and Web Search Portals",1.3,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.6,np,"**",
,"Computer System Design and Related Services",250.5,5.22,,
,"Total",287,4.89,,
"Feb-25","Telecommunications Services",40.3,11.50,,
,"Internet Service Providers and Web Search Portals",3.5,46.44,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.5,np,"**",
,"Computer System Design and Related Services",227.3,5.65,,
,"Total",274.3,5.17,,
"May-25","Telecommunications Services",34.9,17.07,,
,"Internet Publishing and Broadcasting",0.8,np,"**",
,"Data Processing, Web Hosting and Electronic Information Storage Services",0.8,np,"**",
,"Computer System Design and Related Services",266.5,4.65,,
,"Total",301.5,4.45,,
"Aug-25","Telecommunications Services",34.9,15.66,,
,"Data Processing, Web Hosting and Electronic Information Storage Services",2.3,49.76,"*",
,"Computer System Design and Related Services",259.4,5.50,,
,"Total",297.1,4.90,,
"Nov-25","Telecommunications Services",39.3,13.57,,
,"Data Processing, Web Hosting and Electronic Information Storage Services",1.7,np,"**",
,"Computer System Design and Related Services",277.1,5.24,,
,"Total",318.1,4.27,,

np RSE data is concealed

"Dataset: Labour Force Survey, 2006 to 2026, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals."
"INFO","Continuous variables in this table have been randomly adjusted to avoid the release of confidential data."


Symbol,Description
"#","(000's)"
"**","Estimate has a relative standard error greater than 50% and is considered too unreliable for general use"
"*","Estimate has a relative standard error of 25% to 50% and should be used with caution"


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
