Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL
Summary,Percentile,,90th,263000,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia
Summary,Percentile,,Median,202109,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,25th,181000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,75th,248000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,90th,263000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,Median,194707,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Summary,Percentile,,25th,124000,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Summary,Percentile,,75th,292000,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Summary,Percentile,,90th,395000,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Summary,Percentile,,Median,131079,Human Resources,All,Australia,https://www.levels.fyi/en-gb/t/human-resources/locations/australia
Summary,Percentile,,25th,85900,Human Resources,All,Australia,https://www.levels.fyi/en-gb/t/human-resources/locations/australia
Summary,Percentile,,75th,159000,Human Resources,All,Australia,https://www.levels.fyi/en-gb/t/human-resources/locations/australia
Summary,Percentile,,90th,212000,Human Resources,All,Australia,https://www.levels.fyi/en-gb/t/human-resources/locations/australia
Summary,Percentile,,Median,63574,Human Resources,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/human-resources/levels/entry-level/locations/australia
Summary,Percentile,,Median,151520,Human Resources,Senior,Australia,https://www.levels.fyi/en-gb/t/human-resources/levels/senior/locations/australia
Summary,Percentile,,25th,131000,Human Resources,Senior,Australia,https://www.levels.fyi/en-gb/t/human-resources/levels/senior/locations/australia
Summary,Percentile,,75th,178000,Human Resources,Senior,Australia,https://www.levels.fyi/en-gb/t/human-resources/levels/senior/locations/australia
Summary,Percentile,,90th,212000,Human Resources,Senior,Australia,https://www.levels.fyi/en-gb/t/human-resources/levels/senior/locations/australia
Summary,Percentile,,Median,155277,Customer Success,All,Australia,https://www.levels.fyi/en-gb/t/customer-success/locations/australia
